id,email,password_hash,role,created_at,updated_at
8d741ae4-6de5-4a3c-b502-1ca883badab5,merchant.zomato@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
52fcf307-e901-48ef-9ab7-862f4f146ecd,merchant.uber@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
c775d2ee-6d3b-47b1-8dbb-1483dfd9d540,merchant.amazon@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
9a9c673a-069d-4d97-97bd-8c3c62dbef54,merchant.netflix@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
7a4ebf8a-c40e-4d4e-9aa9-627f028cda1d,merchant.bigbasket@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
b4a4f4cc-60a7-4a1f-a8f3-d3c91b57a25a,merchant.wework@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
ad505fc7-d443-49d4-a63a-58a9b6fb0c08,merchant.starbucks@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
baad23b3-4d22-499b-8cc1-65c9e76e7fe5,merchant.airbnb@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
29eb5fed-b111-481f-a415-485f2a9930f2,merchant.makemytrip@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
2d837444-5c99-4eff-8206-f6f08bd3756c,merchant.utility.adani@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
d17cbe13-077d-4445-9b49-1db0bbea8b51,merchant.telecom.airtel@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,merchant,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
b86472e7-8521-445c-9628-617685c418c6,amit.landlord@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
f7b68f54-0ae3-46cb-b51e-e861408b4217,supplier@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
9178d340-6576-4437-a0e0-fb6ee75b73c9,staff.amit@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
7aba28a8-1676-4258-8177-019a1fc6213b,priya.salaried@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-07-31T16:48:16.146Z,2025-07-31T16:48:16.146Z
6c81bc8a-1f37-4c9f-85d1-a8876ce337bd,aditya.biz@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
ca9186d2-ed34-4ba2-be36-2c0eff3c62c0,ananya.travel@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-08-15T16:48:16.146Z,2025-08-15T16:48:16.146Z
882bd677-182a-49b0-839e-5574c87db875,aarav.student@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-08-25T16:48:16.146Z,2025-08-25T16:48:16.146Z
0b127035-059c-4381-bef6-77450cfdde76,rohan.student@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-08-27T16:48:16.146Z,2025-08-27T16:48:16.146Z
be661304-69a1-4305-ba4e-5a4e36ee73bf,vikram.free@domain.com,$2a$10$VvSX/.dfZ44qLCnoTiLtsecGwXZtwrwNX9Ja/7Naxfda6196ZRr22,user,2025-09-09T16:48:16.146Z,2025-09-09T16:48:16.146Z
